"grp","vcov","sdcor","Percent","Rmse","Heritability","R_squared","Env"
"Residual",4.5345533395506,2.12944906948971,33.77,1.66270565774691,0.788,0.66225083022038,"NEH1.2021"
"Pedigree",0.711439788506279,0.843468901920088,11.8,1.74868535532089,0.274,0.374904033157634,"TXH1.2021"
"Pass",0.409905041345077,0.640238269197552,6.8,1.74868535532089,0.274,0.374904033157634,"TXH1.2021"
"Range",0.984393490691202,0.992166060037936,16.33,1.74868535532089,0.274,0.374904033157634,"TXH1.2021"
"Replicate",0.154051759215109,0.392494279213225,2.56,1.74868535532089,0.274,0.374904033157634,"TXH1.2021"
"Residual",3.76785934488191,1.94109745888297,62.51,1.74868535532089,0.274,0.374904033157634,"TXH1.2021"
"Pedigree",1.84642693618036,1.35883293166613,28.05,1.39302549434174,0.558,0.555795600297407,"TXH2.2021"
"Pass",0.533543726499773,0.730440775490917,8.11,1.39302549434174,0.558,0.555795600297407,"TXH2.2021"
"Range",0.38154267587038,0.617691408286031,5.8,1.39302549434174,0.558,0.555795600297407,"TXH2.2021"
"Replicate",0.896880559756226,0.947037781588584,13.63,1.39302549434174,0.558,0.555795600297407,"TXH2.2021"
"Residual",2.92387105008279,1.70993305426932,44.42,1.39302549434174,0.558,0.555795600297407,"TXH2.2021"
"Pedigree",0.62296761968764,0.789282978207208,4.35,0.828819522449222,0.545,0.927473284237243,"TXH3.2021"
"Pass",12.1325455959545,3.48318038521615,84.67,0.828819522449222,0.545,0.927473284237243,"TXH3.2021"
"Range",0.224899919644127,0.474236143333811,1.57,0.828819522449222,0.545,0.927473284237243,"TXH3.2021"
"Replicate",0.309152702476426,0.556015020009735,2.16,0.828819522449222,0.545,0.927473284237243,"TXH3.2021"
"Residual",1.03921976029588,1.01942128695445,7.25,0.828819522449222,0.545,0.927473284237243,"TXH3.2021"
"Pedigree",3.59530873527189,1.89612993628387,60.48,0.967815948089397,0.777,0.651969776484161,"WIH1.2021"
"Range",0,0,0,0.967815948089397,0.777,0.651969776484161,"WIH1.2021"
"Pass",0.28023035223387,0.529367879866043,4.71,0.967815948089397,0.777,0.651969776484161,"WIH1.2021"
"Replicate",0,0,0,0.967815948089397,0.777,0.651969776484161,"WIH1.2021"
"Residual",2.06881481859883,1.43833751901243,34.8,0.967815948089397,0.777,0.651969776484161,"WIH1.2021"
"Pedigree",2.45735628160579,1.56759570094007,39.33,1.3970167093163,0.612,0.502147411889738,"WIH2.2021"
"Pass",0.106667729373298,0.326600259297659,1.71,1.3970167093163,0.612,0.502147411889738,"WIH2.2021"
"Range",0.570707298175082,0.755451717964214,9.14,1.3970167093163,0.612,0.502147411889738,"WIH2.2021"
"Replicate",0.00234866153493884,0.0484629913948658,0.04,1.3970167093163,0.612,0.502147411889738,"WIH2.2021"
"Residual",3.11024879454996,1.76358974666728,49.79,1.3970167093163,0.612,0.502147411889738,"WIH2.2021"
"Pedigree",2.38052772013915,1.54289588765384,37.95,1.10754784973325,0.683,0.647979809791151,"WIH3.2021"
"Pass",1.68016328406927,1.29621112634836,26.78,1.10754784973325,0.683,0.647979809791151,"WIH3.2021"
"Range",0,0,0,1.10754784973325,0.683,0.647979809791151,"WIH3.2021"
"Replicate",0.00431081196696786,0.0656567739610153,0.07,1.10754784973325,0.683,0.647979809791151,"WIH3.2021"
"Residual",2.20834459794447,1.48604999846724,35.2,1.10754784973325,0.683,0.647979809791151,"WIH3.2021"
"Pedigree",1.11135508137471,1.05420827229476,32.94,0.920292086576542,0.615,0.587488568659331,"IAH4.2021"
"Range",0.63948202582796,0.799676200613698,18.95,0.920292086576542,0.615,0.587488568659331,"IAH4.2021"
"Pass",0.231206208499969,0.480839067152378,6.85,0.920292086576542,0.615,0.587488568659331,"IAH4.2021"
"Replicate",0,0,0,0.920292086576542,0.615,0.587488568659331,"IAH4.2021"
"Residual",1.39171307963579,1.17970889614167,41.25,0.920292086576542,0.615,0.587488568659331,"IAH4.2021"
