grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Residual,0.000119359691119112,0.010925186090823,10.35,0.0102056986689196,0.108,0.896496452387666,TXH3.2020.10,RminusB,10,2020,TXH3.2020
Pedigree,2.46230576648071e-05,0.00496216259959376,0.32,0.0225120248693955,0.079,0.924938046535959,TXH3.2020.10,RdivB,10,2020,TXH3.2020
Pass,0.000180558964633677,0.0134372230997955,2.36,0.0225120248693955,0.079,0.924938046535959,TXH3.2020.10,RdivB,10,2020,TXH3.2020
Range,0.00675580154359198,0.082193683112463,88.43,0.0225120248693955,0.079,0.924938046535959,TXH3.2020.10,RdivB,10,2020,TXH3.2020
Replicate,0.000105648731962861,0.010278556900794,1.38,0.0225120248693955,0.079,0.924938046535959,TXH3.2020.10,RdivB,10,2020,TXH3.2020
Residual,0.000573481896085384,0.0239474820406109,7.51,0.0225120248693955,0.079,0.924938046535959,TXH3.2020.10,RdivB,10,2020,TXH3.2020
Pedigree,5.61255593573082e-07,0.000749169936378311,0.82,0.00259972164140341,0.127,0.886955117483181,TXH3.2020.10,RCC,10,2020,TXH3.2020
Pass,7.28188460191153e-07,0.000853339592536965,1.07,0.00259972164140341,0.127,0.886955117483181,TXH3.2020.10,RCC,10,2020,TXH3.2020
Range,5.79172517108863e-05,0.00761033847544814,85.02,0.00259972164140341,0.127,0.886955117483181,TXH3.2020.10,RCC,10,2020,TXH3.2020
Replicate,1.21515524282142e-06,0.001102340801577,1.78,0.00259972164140341,0.127,0.886955117483181,TXH3.2020.10,RCC,10,2020,TXH3.2020
Residual,7.70093200202764e-06,0.00277505531512935,11.3,0.00259972164140341,0.127,0.886955117483181,TXH3.2020.10,RCC,10,2020,TXH3.2020
Pedigree,1.30347897786278e-05,0.00361037252629529,3.51,0.00922205964633635,0.202,0.723609852639795,TXH3.2020.10,MRCC,10,2020,TXH3.2020
Pass,4.77343462946236e-05,0.00690900472532937,12.84,0.00922205964633635,0.202,0.723609852639795,TXH3.2020.10,MRCC,10,2020,TXH3.2020
Range,0.000208235087791032,0.0144303530029945,56.01,0.00922205964633635,0.202,0.723609852639795,TXH3.2020.10,MRCC,10,2020,TXH3.2020
Replicate,0,0,0,0.00922205964633635,0.202,0.723609852639795,TXH3.2020.10,MRCC,10,2020,TXH3.2020
Residual,0.000102748900948669,0.0101365132540075,27.64,0.00922205964633635,0.202,0.723609852639795,TXH3.2020.10,MRCC,10,2020,TXH3.2020
Pedigree,2.20180849712589e-05,0.00469234322820261,1.87,0.0135891952845934,0.168,0.814158696745453,TXH3.2020.10,RGBVI,10,2020,TXH3.2020
Pass,8.56434958468109e-05,0.00925437711825117,7.28,0.0135891952845934,0.168,0.814158696745453,TXH3.2020.10,RGBVI,10,2020,TXH3.2020
Range,0.000850715967606695,0.0291670356328286,72.27,0.0135891952845934,0.168,0.814158696745453,TXH3.2020.10,RGBVI,10,2020,TXH3.2020
Replicate,0,0,0,0.0135891952845934,0.168,0.814158696745453,TXH3.2020.10,RGBVI,10,2020,TXH3.2020
Residual,0.000218760953265161,0.01479056974106,18.58,0.0135891952845934,0.168,0.814158696745453,TXH3.2020.10,RGBVI,10,2020,TXH3.2020
