"Domain","Vegetation.Index","FPC","FPC_ID","N","N_complete","Cor","Status"
"AGDD","GLI_new","FPC3","FPC3_GLI_new",10109,10109,0.402904138184384,"ok"
"AGDD","GLI_new","FPC4","FPC4_GLI_new",10109,10109,0.276773529820983,"ok"
"AGDD","GLI_new","FPC5","FPC5_GLI_new",10109,10109,-0.147594171765542,"ok"
"AGDD","GLI_new","FPC6","FPC6_GLI_new",10109,10109,0.416450503194741,"ok"
"AGDD","GLI_new","FPC7","FPC7_GLI_new",10109,10109,-0.18320748569658,"ok"
"AGDD","GdivB","FPC1","FPC1_GdivB",10109,10109,0.119678450683515,"ok"
"AGDD","GdivB","FPC2","FPC2_GdivB",10109,10109,0.0521683795357177,"ok"
"AGDD","GdivB","FPC3","FPC3_GdivB",10109,10109,0.13231034046368,"ok"
"AGDD","GdivB","FPC4","FPC4_GdivB",10109,10109,0.280263819651909,"ok"
"AGDD","GdivB","FPC5","FPC5_GdivB",10109,10109,0.122823795128158,"ok"
"AGDD","GdivB","FPC6","FPC6_GdivB",10109,10109,0.264262320456502,"ok"
"AGDD","GdivB","FPC7","FPC7_GdivB",10109,10109,0.3166935906251,"ok"
"AGDD","GdivR","FPC1","FPC1_GdivR",10109,10109,0.537140310509888,"ok"
"AGDD","GdivR","FPC2","FPC2_GdivR",10109,10109,-0.5167442110324,"ok"
"AGDD","GdivR","FPC3","FPC3_GdivR",10109,10109,0.544421290616586,"ok"
"AGDD","GdivR","FPC4","FPC4_GdivR",10109,10109,0.0648479365541373,"ok"
"AGDD","GdivR","FPC5","FPC5_GdivR",10109,10109,0.0927758443980885,"ok"
"AGDD","GdivR","FPC6","FPC6_GdivR",10109,10109,0.119766774243965,"ok"
"AGDD","GdivR","FPC7","FPC7_GdivR",10109,10109,0.0122229299200403,"ok"
"AGDD","GminusB","FPC1","FPC1_GminusB",10109,10109,0.185213337392992,"ok"
"AGDD","GminusB","FPC2","FPC2_GminusB",10109,10109,-0.445793585941672,"ok"
"AGDD","GminusB","FPC3","FPC3_GminusB",10109,10109,-0.379275963978593,"ok"
"AGDD","GminusB","FPC4","FPC4_GminusB",10109,10109,-0.28765956235044,"ok"
