"Domain","Vegetation.Index","FPC","FPC_ID","Env","N","N_complete","Cor","Status"
"DAP","BGI","FPC5","FPC5_BGI","WIH1.2020",394,394,-0.0290339420627133,"ok"
"DAP","BGI","FPC5","FPC5_BGI","WIH1.2021",398,398,-0.1420214655472,"ok"
"DAP","BGI","FPC5","FPC5_BGI","WIH2.2020",1127,1127,-0.0316588446178382,"ok"
"DAP","BGI","FPC5","FPC5_BGI","WIH2.2021",1137,1137,-0.0620353065107091,"ok"
"DAP","BGI","FPC5","FPC5_BGI","WIH3.2020",415,415,0.00488043870146123,"ok"
"DAP","BGI","FPC5","FPC5_BGI","WIH3.2021",397,397,0.152416542359327,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","DEH1.2020",1142,1142,-0.0602555680184817,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","IAH4.2021",1128,1128,0.0355568989638044,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","MIH1.2020",414,414,-0.19879608047208,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","MNH1.2020",395,395,-0.220967612339908,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","MNH1.2021",415,415,-0.111924444086839,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","MOH1.2020",1006,1006,0.173105169104586,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","NEH1.2021",246,246,-0.0626986772653302,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH1.2020",246,246,-0.24389950433237,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH1.2021",246,246,0.0599807704127968,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH2.2020",246,246,-0.190902376831656,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH2.2021",246,246,-0.0676253693717347,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH3.2020",266,266,-0.199677192471926,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","TXH3.2021",245,245,0.00516122375211342,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH1.2020",394,394,0.00734634219958395,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH1.2021",398,398,-0.107262398963235,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH2.2020",1127,1127,-0.0531751609901572,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH2.2021",1137,1137,0.0514818762623437,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH3.2020",415,415,0.0537483511639063,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new","WIH3.2021",397,397,-0.0115921048531823,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","DEH1.2020",1142,1142,0.236489608014328,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","IAH4.2021",1128,1128,-0.0405223832228937,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","MIH1.2020",414,414,-0.230880110694556,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","MNH1.2020",395,395,-0.450768289073754,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","MNH1.2021",415,415,-0.225281895480603,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","MOH1.2020",1006,1006,-0.236588044783974,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","NEH1.2021",246,246,0.0242472812295177,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH1.2020",246,246,-0.275731968471165,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH1.2021",246,246,0.111968587029114,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH2.2020",246,246,-0.0714850693822804,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH2.2021",246,246,0.0695299518925385,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH3.2020",266,266,-0.101831114660183,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","TXH3.2021",245,245,0.245066230356644,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH1.2020",394,394,-0.336164482623069,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH1.2021",398,398,-0.372772675741831,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH2.2020",1127,1127,-0.0914538756105819,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH2.2021",1137,1137,-0.0430704147317678,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH3.2020",415,415,0.0308315223612764,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new","WIH3.2021",397,397,-0.196979594161129,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","DEH1.2020",1142,1142,-0.026646938783576,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","IAH4.2021",1128,1128,-0.107832066759203,"ok"
