Method,Model,Time_Domain,Series,CV,Seed,Fold,N,Environments,Correlation,RMSE,Equal_Environment_RMSE
TNP,VI-only,DAP,TNP VI,CV00,4,3,1310,19,0.24059931345978,2.95087551074523,2.49364365563526
TNP,VI-only,DAP,TNP VI,CV00,5,3,1337,19,0.245188481363883,2.75656742169467,2.51505337347386
TNP,VI-only,DAP,TNP VI,CV00,1,4,1302,19,0.255836575148748,2.77640207134139,2.49756783898727
TNP,VI-only,DAP,TNP VI,CV00,2,4,1293,19,0.184564914324558,3.12938365381808,2.65005806215618
TNP,VI-only,DAP,TNP VI,CV00,3,4,1328,19,0.19924518894304,2.69242720258285,2.41118635233719
TNP,VI-only,DAP,TNP VI,CV00,4,4,1263,19,0.275481902379512,2.76212191698603,2.38348413287867
TNP,VI-only,DAP,TNP VI,CV00,5,4,1275,19,0.230161910925276,2.75442781705069,2.40751846722988
TNP,VI-only,DAP,TNP VI,CV00,1,5,1215,19,0.254542351250289,2.71009458588291,2.40677082090496
TNP,VI-only,DAP,TNP VI,CV00,2,5,1307,19,0.258697385518408,3.027245141227,2.68512017122667
TNP,VI-only,DAP,TNP VI,CV00,3,5,1238,19,0.144430463902166,2.55790875614305,2.3811915086495
TNP,VI-only,DAP,TNP VI,CV00,4,5,1200,19,0.241114459473436,2.55263468537814,2.2725733652515
TNP,VI-only,DAP,TNP VI,CV00,5,5,1248,19,0.366268785761912,2.72933072093506,2.48420072378438
TNP,VI+genomic,DAP,TNP VI+G,CV0,1,1,5156,19,0.396851317569107,2.75422934280384,2.36235637334568
TNP,VI+genomic,DAP,TNP VI+G,CV0,2,1,5187,19,0.347730851654227,2.47308978444177,2.29471496068368
TNP,VI+genomic,DAP,TNP VI+G,CV0,3,1,5154,19,0.386348832134125,2.59638181147805,2.36218756053642
TNP,VI+genomic,DAP,TNP VI+G,CV0,4,1,5120,19,0.344685482860605,2.59558389075452,2.44940079129837
TNP,VI+genomic,DAP,TNP VI+G,CV0,5,1,5178,19,0.331804340946043,2.68421322532476,2.4759188272602
TNP,VI+genomic,DAP,TNP VI+G,CV0,1,2,5148,19,0.370763150542904,2.83500049401684,2.53528783470232
TNP,VI+genomic,DAP,TNP VI+G,CV0,2,2,5139,19,0.319539441329027,2.49494061453539,2.30155827815561
TNP,VI+genomic,DAP,TNP VI+G,CV0,3,2,5161,19,0.376023567448382,2.67405802499485,2.428942467651
TNP,VI+genomic,DAP,TNP VI+G,CV0,4,2,5102,19,0.33072156630189,2.43369630043437,2.27222424525393
TNP,VI+genomic,DAP,TNP VI+G,CV0,5,2,5131,19,0.312072350309759,2.70747095804093,2.47712597171366
TNP,VI+genomic,DAP,TNP VI+G,CV0,1,3,5111,19,0.346240071049429,2.64548475862524,2.30817734963915
TNP,VI+genomic,DAP,TNP VI+G,CV0,2,3,5172,19,0.31831176639386,2.63277302999585,2.3350297184619
TNP,VI+genomic,DAP,TNP VI+G,CV0,3,3,5149,19,0.358440227331893,2.61290068314995,2.33644493906728
TNP,VI+genomic,DAP,TNP VI+G,CV0,4,3,5139,19,0.358882974817238,2.55770939762644,2.39752109188162
