Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH2.2020,124,0.0722035019017781,2.70602995558798
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH2.2021,532,0.407974521064184,3.49504696062379
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH2.2021,123,0.337778739878119,3.39537485587526
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH3.2020,190,0.227366915366041,2.44988872963265
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH3.2020,44,-0.0731733883701793,2.42025231931537
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH3.2021,189,0.588637749227555,1.46041289975448
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH3.2021,44,0.422879514888271,1.91415550583339
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,DEH1.2020,526,0.690237922775332,1.87715361031946
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,DEH1.2020,129,0.735301459727192,2.08379756880155
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,IAH4.2021,518,0.517280893230921,1.59393073569933
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,IAH4.2021,127,0.521561850697551,1.6020259036073
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,MIH1.2020,189,0.506239175538638,3.31857657985711
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,MIH1.2020,45,0.535350732744659,3.09810794691092
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,MNH1.2020,186,0.542896354634615,2.58693221195784
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,MNH1.2020,45,0.28860689923663,2.68368612170771
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,MNH1.2021,191,0.380779822300122,1.82584149447515
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,MNH1.2021,45,0.502655254225222,1.61900065804701
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,MOH1.2020,459,0.241086451466708,2.2258559865375
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,MOH1.2020,116,0.251592288038324,2.24198563574336
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,NEH1.2021,188,0.318909051540805,2.9949425344873
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,NEH1.2021,45,0.470750202832675,2.8153648498311
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH1.2020,188,0.690986996627778,1.26503168138252
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH1.2020,45,0.595514693926431,1.52137625670868
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH1.2021,188,-0.00356696076334092,2.94071221790302
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH1.2021,45,0.217548412788246,2.85188828598243
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH2.2020,188,0.484334758209023,1.80718904239854
